href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,"['shanxi,', 'china']",mandarin,['none'],"['26,', 'female', '']",13.0,academic,['usa'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2837,mandarin32,female,"['hubei,', 'china']",mandarin,['none'],"['21,', 'female', '']",2.0,academic,['usa'],5.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=61,english1,male,"['pennsylvania,', 'usa']",english,"['mandarin', '']","['42,', 'male', '']",0.0,naturalistic,['usa'],41.0,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,english2,female,"['birmingham,', 'uk']",english,"['german', 'mandarin', '']","['30,', 'female', '']",0.0,naturalistic,['uk'],30.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=11,arabic1,female,"['saudi', 'arabia']",arabic,['none'],"['38,', 'female', '']",12.0,academic,['usa'],4.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=12,arabic10,male,"['cairo,', 'egypt']",arabic,"['french', 'german', '']","['26,', 'male', '']",5.0,academic,['usa'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=13,arabic11,female,"['monastir,', 'tunisia']",arabic,"['french', '']","['30,', 'female', '']",14.0,academic,['usa'],4.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=14,arabic12,male,"['baghdad,', 'iraq']",arabic,['none'],"['32,', 'male', '']",11.0,academic,['usa'],8.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=15,arabic13,male,"['zabbougha,', 'lebanon']",arabic,"['french', 'swedish', '']","['25,', 'male', '']",15.0,academic,['usa'],1.0,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=428,arabic14,male,"['amman,', 'jordan']",arabic,"['hebrew', '']","['47,', 'male', '']",11.0,naturalistic,['usa'],25.0,47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=437,arabic15,male,"['qayrawan,', 'tunisia']",arabic,"['french', '']","['40,', 'male', '']",33.0,naturalistic,['usa'],7.0,40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=471,arabic16,male,"['meknes,', 'morocco']",arabic,"['french', 'spanish', '']","['22,', 'male', '']",16.0,academic,[''],0.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=512,arabic17,male,"['settat,', 'morocco']",arabic,"['french', '']","['35,', 'male', '']",15.0,academic,[''],0.0,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=539,arabic18,male,"['city,', 'kuwait']",arabic,"['french', '']","['18,', 'male', '']",6.0,academic,[''],0.0,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=625,arabic19,male,"['khouribga,', 'morocco']",arabic,"['french', '']","['43,', 'male', '']",18.0,academic,['usa'],8.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=643,arabic20,male,"['valley,', 'lebanon']",arabic,"['french', 'german', '']","['36,', 'male', '']",12.0,academic,['usa'],1.0,36
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=670,arabic21,female,"['beirut,', 'lebanon']",arabic,"['french', '']","['46,', 'female', '']",30.0,naturalistic,['usa'],13.0,46
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=920,arabic22,female,"['arab', 'emirates']",arabic,"['french', 'hebrew', '']","['23,', 'female', '']",10.0,academic,[''],0.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=927,arabic23,male,"['mahalla,', 'egypt']",arabic,"['italian', 'farsi', 'french', 'hebrew', '']","['42,', 'male', '']",13.0,academic,['usa'],8.0,42
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=970,arabic24,male,"['cairo,', 'egypt']",arabic,['none'],"['40,', 'male', '']",7.0,academic,['uk'],3.0,40
