href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,"['shanxi,', 'china']",mandarin,['none'],"['26,', 'female', '']",13.0,academic,['usa'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2837,mandarin32,female,"['hubei,', 'china']",mandarin,['none'],"['21,', 'female', '']",2.0,academic,['usa'],5.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=11,arabic1,female,"['saudi', 'arabia']",arabic,['none'],"['38,', 'female', '']",12.0,academic,['usa'],4.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=16,arabic2,male,"['damascus,', 'syria']",arabic,['none'],"['18,', 'male', '']",2.5,naturalistic,['usa'],3.0,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=17,arabic3,male,"['doha,', 'qatar']",arabic,['none'],"['24,', 'male', '']",9.0,academic,['usa'],1.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=18,arabic4,male,"['arab', 'emirates']",arabic,"['french', '']","['19,', 'male', '']",6.0,academic,['usa'],0.6,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=19,arabic5,female,"['casablanca,', 'morocco']",arabic,"['french', '']","['19,', 'female', '']",15.0,academic,['usa'],0.6,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=20,arabic6,male,"['sanaa,', 'yemen']",arabic,['none'],"['21,', 'male', '']",14.5,academic,"['uk,usa']",2.0,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=21,arabic7,female,"['casablanca,', 'morocco']",arabic,"['french', '']","['18,', 'female', '']",15.0,academic,['usa'],0.1,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=22,arabic8,male,"['casablanca,', 'morocco']",arabic,"['french', '']","['21,', 'male', '']",17.0,academic,['usa'],0.7,21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=23,arabic9,female,"['jerusalem,', 'israel']",arabic,['none'],"['28,', 'female', '']",4.0,academic,['usa'],12.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=12,arabic10,male,"['cairo,', 'egypt']",arabic,"['french', 'german', '']","['26,', 'male', '']",5.0,academic,['usa'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=13,arabic11,female,"['monastir,', 'tunisia']",arabic,"['french', '']","['30,', 'female', '']",14.0,academic,['usa'],4.0,30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=14,arabic12,male,"['baghdad,', 'iraq']",arabic,['none'],"['32,', 'male', '']",11.0,academic,['usa'],8.0,32
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=15,arabic13,male,"['zabbougha,', 'lebanon']",arabic,"['french', 'swedish', '']","['25,', 'male', '']",15.0,academic,['usa'],1.0,25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=428,arabic14,male,"['amman,', 'jordan']",arabic,"['hebrew', '']","['47,', 'male', '']",11.0,naturalistic,['usa'],25.0,47
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=437,arabic15,male,"['qayrawan,', 'tunisia']",arabic,"['french', '']","['40,', 'male', '']",33.0,naturalistic,['usa'],7.0,40
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=471,arabic16,male,"['meknes,', 'morocco']",arabic,"['french', 'spanish', '']","['22,', 'male', '']",16.0,academic,[''],0.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=512,arabic17,male,"['settat,', 'morocco']",arabic,"['french', '']","['35,', 'male', '']",15.0,academic,[''],0.0,35
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=539,arabic18,male,"['city,', 'kuwait']",arabic,"['french', '']","['18,', 'male', '']",6.0,academic,[''],0.0,18
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=625,arabic19,male,"['khouribga,', 'morocco']",arabic,"['french', '']","['43,', 'male', '']",18.0,academic,['usa'],8.0,43
